Sales Order Number,Sales Document Type,Sales Order Line Item,Order Create Date,Requested Delivery Date,Sold-To Party,Sold-to Name,Customer Hierarchy ,Customer Hierarchy Level 6 Text,Customer Hierarchy Level 7 Text,Material,Material Descrption,Material Status Description,Plant Material Status Description,Auth Sell Flag Description,Plant,Order Quantity Sales Unit,Sales Unit of Measure
1076868259,ZOR,280,20251114,20251118,2000477359,7-ELEVEN #37019,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300051154,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C,Material Active,Material Active,No,1446,1,CS
1076868259,ZOR,290,20251114,20251118,2000477359,7-ELEVEN #37019,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300051203,CELSIUS LF SPKSPIZVB SLCN 12OZ1P12C,Material Active,Material Active,No,1446,2,CS
1076868376,ZOR,360,20251114,20251118,2000624957,7-ELEVEN #41788,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300051154,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C,Material Active,Material Active,No,1007,1,CS
1076868405,ZOR,60,20251114,20251118,2001114516,7-ELEVEN #33597,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300051104,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C S,Material Active,Material Active,No,1035,1,CS
1076868405,ZOR,70,20251114,20251118,2001114516,7-ELEVEN #33597,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300056774,POPPI CNBYFZ CAN 12OZ 1P12C,Material Active,Material Active,No,1035,1,CS
1076868405,ZOR,80,20251114,20251118,2001114516,7-ELEVEN #33597,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300056667,POPPI GNGLM CAN 12OZ 1P12C FIZZ,Material Active,Material Active,No,1035,1,CS
1076868405,ZOR,90,20251114,20251118,2001114516,7-ELEVEN #33597,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300051203,CELSIUS LF SPKSPIZVB SLCN 12OZ1P12C,Material Active,Material Active,No,1035,1,CS
1076868405,ZOR,310,20251114,20251118,2001114516,7-ELEVEN #33597,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1035,2,CS
1076868406,ZOR,20,20251114,20251118,2004709729,7-ELEVEN 46134 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300056667,POPPI GNGLM CAN 12OZ 1P12C FIZZ,Material Active,Material Active,No,1N08,1,CS
1076868406,ZOR,190,20251114,20251118,2004709729,7-ELEVEN 46134 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1N08,3,CS
1076868406,ZOR,210,20251114,20251118,2004709729,7-ELEVEN 46134 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300051154,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C,Material Active,Material Active,No,1N08,1,CS
1076868406,ZOR,220,20251114,20251118,2004709729,7-ELEVEN 46134 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300056774,POPPI CNBYFZ CAN 12OZ 1P12C,Material Active,Material Active,No,1N08,1,CS
1076868416,ZOR,60,20251114,20251118,2004848653,7-ELEVEN 46233 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300004612,GAT STRWBWTRMLN PET 28OZ 1P15C,Material Active,Material Active,No,1032,1,CS
1076868417,ZOR,150,20251114,20251118,2004117301,7-ELEVEN 45969 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300044970,GAT LEMLMOR PET 28OZ 1PK 15CS,Material Active,Material Active,No,1379,1,CS
1076868417,ZOR,150,20251114,20251118,2004117301,7-ELEVEN 45969 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300049053,GAT LEMLMOR PET 28OZ 1PK 15CS DRP ONLY,Material Active,Costing Required,No,1379,1,CS
1076868417,ZOR,160,20251114,20251118,2004117301,7-ELEVEN 45969 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300044958,GAT CLBFRTPU PET 28OZ 1PK 15CS,Material Active,Material Active,No,1379,1,CS
1076868417,ZOR,160,20251114,20251118,2004117301,7-ELEVEN 45969 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300049102,GAT CLBFRTPU PET 28OZ 1PK 15CS DRP ONLY,Material Active,Costing Required,No,1379,1,CS
1076868417,ZOR,180,20251114,20251118,2004117301,7-ELEVEN 45969 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300051154,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C,Material Active,Material Active,No,1379,1,CS
